remote,리모컨
equipment,장비
complicated,복잡한
feasible,실행 가능한
device,기기
mechanical,기계상의
electrical,전기의
assistance,지원
hoist,들어 올리다
capacity,용량
potent,강력한
act up,제대로 작동하지 않다
insert,삽입하다
displace,대체하다
enable,가능하게 하다
emblazon,장식하다
inspection,점검
gear,맞게 조정하다
obviate,없애다
breakthrough,획기적인 발전
work the system,체제.체계를 작동하게 하다
advance,진보
immaculate,완벽한
viable,실행 가능한
dud,제대로 작동하지 않는 것
align,정밀하게 조정하다
recline,눕다
ubiquitous,흔한
on one’s last legs,거의 망가진
controversial,논란의 여지가 있는
compile,수집하다
boon,요긴한 것
strive,노력하다
plug away at,꾸준히 하다
secure,안전한
priority,우선 사항
durable,내구성이 있는
access,접속
play a role,역할을 하다
generate,발생시키다
erect,건설하다
mission,우주 비행
reliability,신뢰성
utility,공공시설
infrastructure,기반 시설
handy,유용한
intuitive,직관적인
concentrate,집중하다
